# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-87.5,2.5,-1.79,5
-87.5,7.5,-0.85,28
-87.5,12.5,-1.23,13
-87.5,17.5,-1.13,19
-87.5,22.5,-1.14,23
-87.5,27.5,-1.12,24
-87.5,32.5,-0.45,53
-87.5,37.5,-1.59,11
-87.5,42.5,-1.26,18
-87.5,47.5,-2.38,1
-87.5,52.5,-0.31,70
-87.5,57.5,-0.6,46
-87.5,62.5,-1.15,21
-87.5,67.5,-1.12,17
-87.5,72.5,-1.05,26
-87.5,77.5,-1.8,12
-87.5,82.5,-1.52,7
-87.5,87.5,-0.92,20
-87.5,92.5,-1.16,19
-87.5,97.5,-1.05,18
-87.5,102.5,-0.85,29
-87.5,107.5,0.26,104
-87.5,112.5,-0.16,80
-87.5,117.5,-0.31,77
-87.5,122.5,-0.19,87
-87.5,127.5,-0.15,76
-87.5,132.5,0.1,86
-87.5,137.5,-1.67,4
-87.5,142.5,-0.97,27
-87.5,147.5,-1.49,5
-87.5,152.5,-0.33,61
-87.5,157.5,-0.25,51
-87.5,162.5,-0.27,63
-87.5,167.5,-0.03,95
-87.5,172.5,-0.62,52
-87.5,177.5,0.35,114
-87.5,182.5,0.07,66
-87.5,187.5,-0.13,90
-87.5,192.5,0.45,118
-87.5,197.5,0.55,141
-87.5,202.5,-0.72,36
-87.5,207.5,0.42,134
-87.5,212.5,0.38,111
-87.5,217.5,0.09,110
-87.5,222.5,0.8,153
-87.5,227.5,-0.6,58
-87.5,232.5,0.01,100
-87.5,237.5,-0.73,40
-87.5,242.5,-0.04,98
-87.5,247.5,0.12,98
-87.5,252.5,0.05,100
-87.5,257.5,-0.25,82
-87.5,262.5,-0.34,49
-87.5,267.5,-0.65,33
-87.5,272.5,-1.21,22
-87.5,277.5,-0.3,80
-87.5,282.5,-1.02,35
-87.5,287.5,-0.3,83
-87.5,292.5,-0.25,68
-87.5,297.5,-0.25,84
-87.5,302.5,-1.13,38
-87.5,307.5,-1.01,29
-87.5,312.5,-1.01,39
-87.5,317.5,-0.05,85
-87.5,322.5,-2.58,4
-87.5,327.5,-2.42,2
-87.5,332.5,-1.85,9
-87.5,337.5,-0.71,44
-87.5,342.5,-1.51,7
-87.5,347.5,-1.81,5
-87.5,352.5,-0.88,24
-87.5,357.5,-1.74,15
-82.5,2.5,-1.38,14
-82.5,7.5,-1.43,20
-82.5,12.5,-1.32,20
-82.5,17.5,-0.73,44
-82.5,22.5,-0.32,64
-82.5,27.5,-1.36,22
-82.5,32.5,-0.52,60
-82.5,37.5,-1.2,28
-82.5,42.5,-0.84,38
-82.5,47.5,-0.82,44
-82.5,52.5,-1.03,31
-82.5,57.5,-1.16,26
-82.5,62.5,-1.09,24
-82.5,67.5,-1.4,11
-82.5,72.5,-1.59,8
-82.5,77.5,-1.98,4
-82.5,82.5,-1.11,26
-82.5,87.5,-1.04,26
-82.5,92.5,-1.01,23
-82.5,97.5,-0.4,53
-82.5,102.5,-0.54,53
-82.5,107.5,-1.12,23
-82.5,112.5,-1.16,18
-82.5,117.5,-1.27,16
-82.5,122.5,-0.67,38
-82.5,127.5,-1.01,29
-82.5,132.5,-0.71,44
-82.5,137.5,-0.49,51
-82.5,142.5,-0.6,57
-82.5,147.5,-0.95,33
-82.5,152.5,-0.34,68
-82.5,157.5,-0.38,70
-82.5,162.5,-0.62,45
-82.5,167.5,0.5,136
-82.5,172.5,-0.13,101
-82.5,177.5,0.9,159
-82.5,182.5,0.71,148
-82.5,187.5,0.56,152
-82.5,192.5,0.53,151
-82.5,197.5,0.54,150
-82.5,202.5,0.58,148
-82.5,207.5,0.8,145
-82.5,212.5,0.4,131
-82.5,217.5,0.7,138
-82.5,222.5,0.04,115
-82.5,227.5,0.55,144
-82.5,232.5,0.35,139
-82.5,237.5,0.22,120
-82.5,242.5,1.46,168
-82.5,247.5,0.54,149
-82.5,252.5,0.56,150
-82.5,257.5,0.44,128
-82.5,262.5,0.06,96
-82.5,267.5,-0.19,93
-82.5,272.5,-0.19,102
-82.5,277.5,-0.64,52
